[ 2025-03-06 17:57:27,565 ] 149 tensorflow - WARNING - From E:\Python\Data_science_project\Anime_recommender_system\anime_recommender\Lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.
 
[ 2025-03-06 17:57:28,043 ] 36 root - INFO - Making Initial request to set the next page flag. 
[ 2025-03-06 17:57:28,656 ] 44 root - INFO - Data Ingestion Started. 
[ 2025-03-06 18:21:20,539 ] 77 root - INFO -  Data Ingestion Completed. 
[ 2025-03-06 18:21:20,982 ] 28 root - INFO - Building the DataFrame 
[ 2025-03-06 18:21:21,014 ] 30 root - INFO - Built the Dataframe successfully 
[ 2025-03-06 18:21:21,014 ] 38 root - INFO - Transforming the Data. 
[ 2025-03-06 18:29:39,338 ] 61 root - INFO - Data Transformation Completed. 
[ 2025-03-06 18:29:39,915 ] 21 root - INFO - Model Initiallization Started 
[ 2025-03-06 18:29:39,915 ] 210 sentence_transformers.SentenceTransformer - INFO - Use pytorch device_name: cpu 
[ 2025-03-06 18:29:39,915 ] 218 sentence_transformers.SentenceTransformer - INFO - Load pretrained SentenceTransformer: all-MiniLM-L6-v2 
[ 2025-03-06 18:29:43,091 ] 23 root - INFO - Model Initiallized successfully 
